DATE,KECAMATAN_NAME,TOTAL_POPULATION,STERILIZED,RESCUED
2025-01-14,Rungkut,2696,1083,56
2025-01-14,Mulyorejo,1529,858,59
2025-01-14,Genteng,1524,646,34
2025-01-14,Tegalsari,1268,584,52
2025-01-14,Sawahan,1993,1159,30
2025-01-14,Kenjeran,2501,924,78
2025-01-15,Gubeng,1331,497,111
2025-01-15,Sukolilo,1844,716,51
2025-01-15,Tambaksari,2749,949,24
2025-01-15,Wonokromo,1860,925,28
2025-01-15,Rungkut,2717,1085,57
2025-01-15,Mulyorejo,1537,862,57
2025-01-15,Genteng,1530,650,33
2025-01-15,Tegalsari,1270,589,53
2025-01-15,Sawahan,1989,1165,32
2025-01-15,Kenjeran,2520,929,81
2025-01-16,Gubeng,1341,499,112
2025-01-16,Sukolilo,1844,721,51
2025-01-16,Tambaksari,2768,954,28
2025-01-16,Wonokromo,1860,927,30
2025-01-16,Rungkut,2725,1088,57
2025-01-16,Mulyorejo,1542,864,59
2025-01-16,Genteng,1531,653,36
2025-01-16,Tegalsari,1283,594,56
2025-01-16,Sawahan,2007,1169,34
2025-01-16,Kenjeran,2528,933,85
2025-01-17,Gubeng,1340,501,111
2025-01-17,Sukolilo,1852,725,53
2025-01-17,Tambaksari,2788,957,29
2025-01-17,Wonokromo,1867,928,32
2025-01-17,Rungkut,2738,1094,60
2025-01-17,Mulyorejo,1542,864,59
2025-01-17,Genteng,1539,658,38
2025-01-17,Tegalsari,1287,600,60
2025-01-17,Sawahan,2009,1171,33
2025-01-17,Kenjeran,2551,934,83
2025-01-18,Gubeng,1340,504,113
2025-01-18,Sukolilo,1869,725,54
2025-01-18,Tambaksari,2801,962,31
2025-01-18,Wonokromo,1869,933,33
2025-01-18,Rungkut,2752,1095,59
2025-01-18,Mulyorejo,1551,864,63
2025-01-18,Genteng,1553,658,42
2025-01-18,Tegalsari,1292,601,64
2025-01-18,Sawahan,2028,1175,34
2025-01-18,Kenjeran,2551,935,87
2025-01-19,Gubeng,1341,505,117
2025-01-19,Sukolilo,1878,729,56
2025-01-19,Tambaksari,2820,968,32
2025-01-19,Wonokromo,1880,938,35
2025-01-19,Rungkut,2764,1099,60
2025-01-19,Mulyorejo,1565,869,67
2025-01-19,Genteng,1560,660,46
2025-01-19,Tegalsari,1294,606,64
2025-01-19,Sawahan,2043,1179,35
2025-01-19,Kenjeran,2569,937,88
2025-01-20,Gubeng,1341,507,116
2025-01-20,Sukolilo,1883,731,58
2025-01-20,Tambaksari,2821,969,31
2025-01-20,Wonokromo,1886,939,38
2025-01-20,Rungkut,2769,1102,61
2025-01-20,Mulyorejo,1569,872,68
2025-01-20,Genteng,1560,666,47
2025-01-20,Tegalsari,1298,612,66
2025-01-20,Sawahan,2062,1179,39
2025-01-20,Kenjeran,2595,941,89
2025-01-21,Gubeng,1348,509,116
2025-01-21,Sukolilo,1899,737,62
2025-01-21,Tambaksari,2834,974,34
2025-01-21,Wonokromo,1896,943,37
2025-01-21,Rungkut,2783,1104,62
2025-01-21,Mulyorejo,1575,875,68
2025-01-21,Genteng,1571,672,48
2025-01-21,Tegalsari,1308,618,67
2025-01-21,Sawahan,2081,1183,41
2025-01-21,Kenjeran,2594,944,91
2025-01-22,Gubeng,1356,509,114
2025-01-22,Sukolilo,1912,738,66
2025-01-22,Tambaksari,2848,974,34
2025-01-22,Wonokromo,1902,944,38
2025-01-22,Rungkut,2792,1110,63
2025-01-22,Mulyorejo,1578,881,69
2025-01-22,Genteng,1574,672,49
2025-01-22,Tegalsari,1307,622,65
2025-01-22,Sawahan,2102,1185,40
2025-01-22,Kenjeran,2613,950,94
2025-01-23,Gubeng,1356,509,113
2025-01-23,Sukolilo,1915,738,68
2025-01-23,Tambaksari,2852,975,35
2025-01-23,Wonokromo,1915,948,37
2025-01-23,Rungkut,2805,1112,67
2025-01-23,Mulyorejo,1582,885,71
2025-01-23,Genteng,1591,677,47
2025-01-23,Tegalsari,1318,623,65
2025-01-23,Sawahan,2101,1185,40
2025-01-23,Kenjeran,2630,953,95
2025-01-24,Gubeng,1370,510,111
2025-01-24,Sukolilo,1927,744,71
2025-01-24,Tambaksari,2859,980,39
2025-01-24,Wonokromo,1919,953,39
2025-01-24,Rungkut,2830,1118,69
2025-01-24,Mulyorejo,1594,887,73
2025-01-24,Genteng,1598,679,45
2025-01-24,Tegalsari,1324,625,63
2025-01-24,Sawahan,2119,1191,41
2025-01-24,Kenjeran,2632,955,98
2025-01-25,Gubeng,1384,513,114
2025-01-25,Sukolilo,1929,745,74
2025-01-25,Tambaksari,2876,985,39
2025-01-25,Wonokromo,1931,957,43
2025-01-25,Rungkut,2844,1121,73
2025-01-25,Mulyorejo,1605,889,73
2025-01-25,Genteng,1613,685,43
2025-01-25,Tegalsari,1327,628,62
2025-01-25,Sawahan,2134,1195,43
2025-01-25,Kenjeran,2652,957,96
2025-01-26,Gubeng,1391,515,113
2025-01-26,Sukolilo,1939,747,78
2025-01-26,Tambaksari,2884,987,41
2025-01-26,Wonokromo,1945,959,45
2025-01-26,Rungkut,2842,1122,71
2025-01-26,Mulyorejo,1607,892,74
2025-01-26,Genteng,1622,686,46
2025-01-26,Tegalsari,1333,633,63
2025-01-26,Sawahan,2142,1195,41
2025-01-26,Kenjeran,2660,960,99
2025-01-27,Gubeng,1394,520,115
2025-01-27,Sukolilo,1946,751,80
2025-01-27,Tambaksari,2895,992,43
2025-01-27,Wonokromo,1950,964,46
2025-01-27,Rungkut,2849,1124,70
2025-01-27,Mulyorejo,1607,893,74
2025-01-27,Genteng,1623,690,50
2025-01-27,Tegalsari,1342,634,62
2025-01-27,Sawahan,2157,1197,44
2025-01-27,Kenjeran,2677,966,101
2025-01-28,Gubeng,1403,520,119
2025-01-28,Sukolilo,1949,752,80
2025-01-28,Tambaksari,2900,992,46
2025-01-28,Wonokromo,1960,966,44
2025-01-28,Rungkut,2880,1128,70
2025-01-28,Mulyorejo,1618,894,77
2025-01-28,Genteng,1638,693,48
2025-01-28,Tegalsari,1354,638,62
2025-01-28,Sawahan,2165,1200,44
2025-01-28,Kenjeran,2681,966,101
2025-01-29,Gubeng,1418,523,117
2025-01-29,Sukolilo,1967,755,81
2025-01-29,Tambaksari,2901,997,49
2025-01-29,Wonokromo,1959,967,48
2025-01-29,Rungkut,2897,1130,68
2025-01-29,Mulyorejo,1635,894,79
2025-01-29,Genteng,1651,697,50
2025-01-29,Tegalsari,1365,639,66
2025-01-29,Sawahan,2175,1203,45
2025-01-29,Kenjeran,2689,970,102
2025-01-30,Gubeng,1422,527,115
2025-01-30,Sukolilo,1980,760,79
2025-01-30,Tambaksari,2933,998,52
2025-01-30,Wonokromo,1961,972,46
2025-01-30,Rungkut,2900,1131,70
2025-01-30,Mulyorejo,1634,894,80
2025-01-30,Genteng,1658,701,51
2025-01-30,Tegalsari,1368,640,66
2025-01-30,Sawahan,2190,1208,49
2025-01-30,Kenjeran,2702,975,101
2025-01-31,Gubeng,1437,533,119
2025-01-31,Sukolilo,1993,765,83
2025-01-31,Tambaksari,2965,1001,50
2025-01-31,Wonokromo,1971,977,45
2025-01-31,Rungkut,2929,1137,69
2025-01-31,Mulyorejo,1633,895,84
2025-01-31,Genteng,1663,706,55
2025-01-31,Tegalsari,1376,642,67
2025-01-31,Sawahan,2190,1213,49
2025-01-31,Kenjeran,2723,977,103
2025-02-01,Gubeng,1445,536,117
2025-02-01,Sukolilo,2006,768,86
2025-02-01,Tambaksari,2975,1003,48
2025-02-01,Wonokromo,1970,982,49
2025-02-01,Rungkut,2957,1141,67
2025-02-01,Mulyorejo,1650,900,88
2025-02-01,Genteng,1667,706,59
2025-02-01,Tegalsari,1387,645,69
2025-02-01,Sawahan,2203,1215,48
2025-02-01,Kenjeran,2754,980,106
2025-02-02,Gubeng,1458,536,118
2025-02-02,Sukolilo,2013,770,86
2025-02-02,Tambaksari,2998,1009,47
2025-02-02,Wonokromo,1975,987,50
2025-02-02,Rungkut,2965,1144,71
2025-02-02,Mulyorejo,1662,900,89
2025-02-02,Genteng,1667,708,59
2025-02-02,Tegalsari,1387,651,70
2025-02-02,Sawahan,2222,1221,46
2025-02-02,Kenjeran,2774,984,107
2025-02-03,Gubeng,1464,537,120
2025-02-03,Sukolilo,2020,776,87
2025-02-03,Tambaksari,3019,1015,45
2025-02-03,Wonokromo,1977,991,49
2025-02-03,Rungkut,2996,1147,74
2025-02-03,Mulyorejo,1669,900,92
2025-02-03,Genteng,1678,709,62
2025-02-03,Tegalsari,1388,655,68
2025-02-03,Sawahan,2233,1221,45
2025-02-03,Kenjeran,2806,984,108
2025-02-04,Gubeng,1480,542,124
2025-02-04,Sukolilo,2022,781,87
2025-02-04,Tambaksari,3036,1017,46
2025-02-04,Wonokromo,1994,994,48
2025-02-04,Rungkut,3010,1148,75
2025-02-04,Mulyorejo,1670,904,94
2025-02-04,Genteng,1691,710,66
2025-02-04,Tegalsari,1387,661,72
2025-02-04,Sawahan,2252,1223,49
2025-02-04,Kenjeran,2822,990,106
2025-02-05,Gubeng,1484,544,128
2025-02-05,Sukolilo,2035,786,88
2025-02-05,Tambaksari,3066,1020,48
2025-02-05,Wonokromo,2003,996,50
2025-02-05,Rungkut,3035,1151,76
2025-02-05,Mulyorejo,1686,910,93
2025-02-05,Genteng,1709,711,68
2025-02-05,Tegalsari,1392,667,76
2025-02-05,Sawahan,2259,1225,52
2025-02-05,Kenjeran,2837,996,107
2025-02-06,Gubeng,1490,549,132
2025-02-06,Sukolilo,2054,787,89
2025-02-06,Tambaksari,3100,1021,50
2025-02-06,Wonokromo,2023,998,54
2025-02-06,Rungkut,3037,1157,77
2025-02-06,Mulyorejo,1685,913,91
2025-02-06,Genteng,1722,714,72
2025-02-06,Tegalsari,1401,668,74
2025-02-06,Sawahan,2268,1227,52
2025-02-06,Kenjeran,2857,999,110
2025-02-07,Gubeng,1491,551,136
2025-02-07,Sukolilo,2069,791,90
2025-02-07,Tambaksari,3134,1026,53
2025-02-07,Wonokromo,2042,1001,58
2025-02-07,Rungkut,3055,1161,75
2025-02-07,Mulyorejo,1687,918,91
2025-02-07,Genteng,1741,719,70
2025-02-07,Tegalsari,1407,668,78
2025-02-07,Sawahan,2282,1233,50
2025-02-07,Kenjeran,2871,1004,110
2025-02-08,Gubeng,1506,551,136
2025-02-08,Sukolilo,2087,793,90
2025-02-08,Tambaksari,3147,1027,52
2025-02-08,Wonokromo,2052,1005,61
2025-02-08,Rungkut,3082,1162,74
2025-02-08,Mulyorejo,1686,924,92
2025-02-08,Genteng,1752,720,71
2025-02-08,Tegalsari,1421,669,77
2025-02-08,Sawahan,2291,1235,51
2025-02-08,Kenjeran,2878,1004,114
2025-02-09,Gubeng,1514,553,139
2025-02-09,Sukolilo,2099,793,91
2025-02-09,Tambaksari,3182,1031,52
2025-02-09,Wonokromo,2065,1008,64
2025-02-09,Rungkut,3089,1168,74
2025-02-09,Mulyorejo,1687,927,96
2025-02-09,Genteng,1761,721,72
2025-02-09,Tegalsari,1429,673,77
2025-02-09,Sawahan,2315,1237,49
2025-02-09,Kenjeran,2910,1009,115
2025-02-10,Gubeng,1518,557,143
2025-02-10,Sukolilo,2115,798,89
2025-02-10,Tambaksari,3216,1036,53
2025-02-10,Wonokromo,2083,1010,68
2025-02-10,Rungkut,3117,1172,78
2025-02-10,Mulyorejo,1691,932,95
2025-02-10,Genteng,1773,726,76
2025-02-10,Tegalsari,1440,678,80
2025-02-10,Sawahan,2335,1242,47
2025-02-10,Kenjeran,2940,1014,113
2025-02-11,Gubeng,1523,560,141
2025-02-11,Sukolilo,2128,803,88
2025-02-11,Tambaksari,3218,1038,53
2025-02-11,Wonokromo,2099,1011,67
2025-02-11,Rungkut,3120,1176,78
2025-02-11,Mulyorejo,1699,934,99
2025-02-11,Genteng,1775,732,77
2025-02-11,Tegalsari,1455,680,83
2025-02-11,Sawahan,2356,1248,45
2025-02-11,Kenjeran,2955,1014,112
2025-02-12,Gubeng,1536,561,145
2025-02-12,Sukolilo,2144,808,89
2025-02-12,Tambaksari,3254,1044,55
2025-02-12,Wonokromo,2106,1017,68
2025-02-12,Rungkut,3118,1180,76
2025-02-12,Mulyorejo,1705,939,102
2025-02-12,Genteng,1788,736,78
2025-02-12,Tegalsari,1468,682,81
2025-02-12,Sawahan,2371,1251,43
2025-02-12,Kenjeran,2976,1018,112
2025-02-13,Gubeng,1552,562,148
2025-02-13,Sukolilo,2144,814,90
2025-02-13,Tambaksari,3288,1046,58
2025-02-13,Wonokromo,2114,1018,66
2025-02-13,Rungkut,3151,1182,77
2025-02-13,Mulyorejo,1704,940,104
2025-02-13,Genteng,1789,739,78
2025-02-13,Tegalsari,1478,687,84
2025-02-13,Sawahan,2394,1254,45
2025-02-13,Kenjeran,3001,1019,113
2025-02-14,Gubeng,1563,568,149
2025-02-14,Sukolilo,2158,816,88
2025-02-14,Tambaksari,3314,1047,59
2025-02-14,Wonokromo,2123,1019,70
2025-02-14,Rungkut,3163,1187,77
2025-02-14,Mulyorejo,1712,945,104
2025-02-14,Genteng,1789,741,77
2025-02-14,Tegalsari,1493,693,88
2025-02-14,Sawahan,2403,1259,44
2025-02-14,Kenjeran,3023,1023,111
2025-02-15,Gubeng,1563,570,148
2025-02-15,Sukolilo,2182,822,90
2025-02-15,Tambaksari,3321,1053,63
2025-02-15,Wonokromo,2134,1023,69
2025-02-15,Rungkut,3192,1188,77
2025-02-15,Mulyorejo,1725,951,106
2025-02-15,Genteng,1787,747,76
2025-02-15,Tegalsari,1509,697,88
2025-02-15,Sawahan,2422,1259,47
2025-02-15,Kenjeran,3053,1024,109
2025-02-16,Gubeng,1569,576,147
2025-02-16,Sukolilo,2196,822,89
2025-02-16,Tambaksari,3331,1054,66
2025-02-16,Wonokromo,2142,1023,72
2025-02-16,Rungkut,3192,1191,81
2025-02-16,Mulyorejo,1730,955,104
2025-02-16,Genteng,1795,748,78
2025-02-16,Tegalsari,1508,703,92
2025-02-16,Sawahan,2437,1261,48
2025-02-16,Kenjeran,3075,1024,107
2025-02-17,Gubeng,1587,582,148
2025-02-17,Sukolilo,2206,822,90
2025-02-17,Tambaksari,3358,1057,64
2025-02-17,Wonokromo,2162,1025,74
2025-02-17,Rungkut,3196,1192,81
2025-02-17,Mulyorejo,1740,959,106
2025-02-17,Genteng,1809,751,80
2025-02-17,Tegalsari,1516,706,94
2025-02-17,Sawahan,2451,1261,52
2025-02-17,Kenjeran,3100,1030,110
2025-02-18,Gubeng,1598,588,150
2025-02-18,Sukolilo,2224,823,91
2025-02-18,Tambaksari,3375,1058,65
2025-02-18,Wonokromo,2168,1028,75
2025-02-18,Rungkut,3210,1192,81
2025-02-18,Mulyorejo,1746,964,106
2025-02-18,Genteng,1816,752,83
2025-02-18,Tegalsari,1531,706,92
2025-02-18,Sawahan,2472,1261,53
2025-02-18,Kenjeran,3102,1035,110
2025-02-19,Gubeng,1613,592,148
2025-02-19,Sukolilo,2238,827,93
2025-02-19,Tambaksari,3387,1058,66
2025-02-19,Wonokromo,2175,1033,79
2025-02-19,Rungkut,3224,1197,79
2025-02-19,Mulyorejo,1763,968,106
2025-02-19,Genteng,1822,756,85
2025-02-19,Tegalsari,1533,711,93
2025-02-19,Sawahan,2475,1261,53
2025-02-19,Kenjeran,3132,1037,108
2025-02-20,Gubeng,1627,596,147
2025-02-20,Sukolilo,2258,833,95
2025-02-20,Tambaksari,3426,1064,68
2025-02-20,Wonokromo,2188,1038,81
2025-02-20,Rungkut,3223,1202,83
2025-02-20,Mulyorejo,1775,968,105
2025-02-20,Genteng,1826,762,85
2025-02-20,Tegalsari,1548,713,91
2025-02-20,Sawahan,2477,1262,55
2025-02-20,Kenjeran,3155,1037,107
2025-02-21,Gubeng,1640,596,145
2025-02-21,Sukolilo,2277,834,96
2025-02-21,Tambaksari,3442,1066,67
2025-02-21,Wonokromo,2195,1043,81
2025-02-21,Rungkut,3251,1206,85
2025-02-21,Mulyorejo,1774,968,104
2025-02-21,Genteng,1828,766,83
2025-02-21,Tegalsari,1559,715,92
2025-02-21,Sawahan,2493,1265,57
2025-02-21,Kenjeran,3171,1039,106
2025-02-22,Gubeng,1654,596,145
2025-02-22,Sukolilo,2287,836,99
2025-02-22,Tambaksari,3469,1069,69
2025-02-22,Wonokromo,2210,1043,80
2025-02-22,Rungkut,3264,1210,83
2025-02-22,Mulyorejo,1771,970,103
2025-02-22,Genteng,1843,772,83
2025-02-22,Tegalsari,1563,715,90
2025-02-22,Sawahan,2504,1268,56
2025-02-22,Kenjeran,3175,1043,109
2025-02-23,Gubeng,1658,600,149
2025-02-23,Sukolilo,2304,838,97
2025-02-23,Tambaksari,3485,1074,67
2025-02-23,Wonokromo,2219,1046,78
2025-02-23,Rungkut,3296,1214,84
2025-02-23,Mulyorejo,1780,975,106
2025-02-23,Genteng,1851,772,84
2025-02-23,Tegalsari,1562,717,89
2025-02-23,Sawahan,2524,1272,57
2025-02-23,Kenjeran,3206,1045,107
2025-02-24,Gubeng,1666,600,148
2025-02-24,Sukolilo,2315,841,99
2025-02-24,Tambaksari,3487,1080,67
2025-02-24,Wonokromo,2236,1047,78
2025-02-24,Rungkut,3325,1214,86
2025-02-24,Mulyorejo,1791,979,108
2025-02-24,Genteng,1854,778,84
2025-02-24,Tegalsari,1567,723,92
2025-02-24,Sawahan,2545,1273,55
2025-02-24,Kenjeran,3210,1046,106
2025-02-25,Gubeng,1677,606,152
2025-02-25,Sukolilo,2332,842,103
2025-02-25,Tambaksari,3512,1083,71
2025-02-25,Wonokromo,2248,1051,79
2025-02-25,Rungkut,3350,1218,89
2025-02-25,Mulyorejo,1802,983,108
2025-02-25,Genteng,1872,783,84
2025-02-25,Tegalsari,1568,723,93
2025-02-25,Sawahan,2555,1275,59
2025-02-25,Kenjeran,3219,1046,106
2025-02-26,Gubeng,1686,608,153
2025-02-26,Sukolilo,2343,842,103
2025-02-26,Tambaksari,3546,1083,74
2025-02-26,Wonokromo,2269,1057,77
2025-02-26,Rungkut,3373,1222,90
2025-02-26,Mulyorejo,1809,987,112
2025-02-26,Genteng,1887,783,85
2025-02-26,Tegalsari,1583,727,96
2025-02-26,Sawahan,2557,1279,60
2025-02-26,Kenjeran,3237,1046,107
2025-02-27,Gubeng,1687,614,153
2025-02-27,Sukolilo,2369,842,105
2025-02-27,Tambaksari,3573,1083,73
2025-02-27,Wonokromo,2286,1060,79
2025-02-27,Rungkut,3392,1223,90
2025-02-27,Mulyorejo,1814,989,113
2025-02-27,Genteng,1895,785,88
2025-02-27,Tegalsari,1593,733,99
2025-02-27,Sawahan,2573,1279,60
2025-02-27,Kenjeran,3240,1051,108
2025-02-28,Gubeng,1692,619,157
2025-02-28,Sukolilo,2386,846,109
2025-02-28,Tambaksari,3579,1083,75
2025-02-28,Wonokromo,2302,1062,79
2025-02-28,Rungkut,3429,1228,93
2025-02-28,Mulyorejo,1820,993,116
2025-02-28,Genteng,1915,787,90
2025-02-28,Tegalsari,1598,739,99
2025-02-28,Sawahan,2595,1284,63
2025-02-28,Kenjeran,3271,1056,111
2025-03-01,Gubeng,1710,619,160
2025-03-01,Sukolilo,2404,850,109
2025-03-01,Tambaksari,3579,1085,74
2025-03-01,Wonokromo,2326,1064,83
2025-03-01,Rungkut,3447,1229,92
2025-03-01,Mulyorejo,1820,995,120
2025-03-01,Genteng,1931,791,94
2025-03-01,Tegalsari,1606,744,101
2025-03-01,Sawahan,2593,1286,67
2025-03-01,Kenjeran,3294,1060,112
2025-03-02,Gubeng,1712,620,164
2025-03-02,Sukolilo,2423,854,113
2025-03-02,Tambaksari,3617,1090,75
2025-03-02,Wonokromo,2325,1066,86
2025-03-02,Rungkut,3475,1232,94
2025-03-02,Mulyorejo,1823,1000,124
2025-03-02,Genteng,1940,795,93
2025-03-02,Tegalsari,1610,750,105
2025-03-02,Sawahan,2604,1292,66
2025-03-02,Kenjeran,3307,1064,113
2025-03-03,Gubeng,1721,622,168
2025-03-03,Sukolilo,2433,858,114
2025-03-03,Tambaksari,3658,1096,74
2025-03-03,Wonokromo,2345,1067,90
2025-03-03,Rungkut,3484,1237,95
2025-03-03,Mulyorejo,1839,1004,122
2025-03-03,Genteng,1955,799,97
2025-03-03,Tegalsari,1610,750,109
2025-03-03,Sawahan,2605,1295,68
2025-03-03,Kenjeran,3312,1067,111
2025-03-04,Gubeng,1740,623,172
2025-03-04,Sukolilo,2445,860,112
2025-03-04,Tambaksari,3675,1099,76
2025-03-04,Wonokromo,2353,1070,88
2025-03-04,Rungkut,3498,1237,95
2025-03-04,Mulyorejo,1856,1010,125
2025-03-04,Genteng,1969,805,96
2025-03-04,Tegalsari,1611,752,113
2025-03-04,Sawahan,2616,1301,67
2025-03-04,Kenjeran,3341,1070,112
2025-03-05,Gubeng,1752,623,170
2025-03-05,Sukolilo,2451,866,111
2025-03-05,Tambaksari,3698,1104,78
2025-03-05,Wonokromo,2365,1070,92
2025-03-05,Rungkut,3508,1239,93
2025-03-05,Mulyorejo,1854,1013,128
2025-03-05,Genteng,1986,808,94
2025-03-05,Tegalsari,1611,755,115
2025-03-05,Sawahan,2629,1306,69
2025-03-05,Kenjeran,3363,1075,111
2025-03-06,Gubeng,1757,623,172
2025-03-06,Sukolilo,2460,870,112
2025-03-06,Tambaksari,3706,1109,76
2025-03-06,Wonokromo,2377,1072,90
2025-03-06,Rungkut,3546,1243,95
2025-03-06,Mulyorejo,1868,1017,130
2025-03-06,Genteng,1985,814,95
2025-03-06,Tegalsari,1610,758,115
2025-03-06,Sawahan,2633,1306,69
2025-03-06,Kenjeran,3394,1077,110
2025-03-07,Gubeng,1772,628,170
2025-03-07,Sukolilo,2481,875,116
2025-03-07,Tambaksari,3720,1109,76
2025-03-07,Wonokromo,2390,1078,93
2025-03-07,Rungkut,3552,1249,98
2025-03-07,Mulyorejo,1875,1022,131
2025-03-07,Genteng,1998,820,94
2025-03-07,Tegalsari,1609,764,116
2025-03-07,Sawahan,2631,1307,67
2025-03-07,Kenjeran,3425,1077,110
2025-03-08,Gubeng,1791,632,171
2025-03-08,Sukolilo,2509,879,117
2025-03-08,Tambaksari,3731,1115,79
2025-03-08,Wonokromo,2393,1080,97
